latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,latent_16,latent_17,latent_18,latent_19,latent_20,latent_21,latent_22,latent_23,latent_24,target,split
0.9889253,0.60440403,0.029777408,1.1388494,1.8694154,-1.5563703,0.029034853,0.114963815,-0.017965734,-1.4575751,0.057774976,-0.965555,-1.8296658,-1.9035932,0.64156,1.2574929,-0.3063312,-0.4691286,0.6331593,0.9435434,0.009620212,-0.8563843,-1.4670492,0.587272,1.426744,0.88854045,train
0.9889087,0.604394,0.029796466,1.1388454,1.8694122,-1.5563649,0.029026657,0.11496773,-0.017967835,-1.457586,0.057773307,-0.96557575,-1.8296618,-1.9035807,0.6415611,1.2574888,-0.30634958,-0.46911812,0.63314044,0.9435517,0.00964161,-0.85638267,-1.4670569,0.58729225,1.426764,0.88854045,train
0.9889228,0.6043936,0.029778332,1.138865,1.8694061,-1.5563695,0.02903746,0.114956886,-0.017965436,-1.4575903,0.05777,-0.9655625,-1.8296576,-1.9035964,0.6415597,1.25749,-0.3063327,-0.4691164,0.63314986,0.9435554,0.009631805,-0.8563853,-1.467042,0.58727396,1.426747,0.88854045,train
0.98892456,0.60440403,0.029773682,1.138852,1.8694168,-1.5563709,0.029037893,0.11496334,-0.017967314,-1.4575745,0.057772517,-0.96554977,-1.8296651,-1.903597,0.6415623,1.2574937,-0.30633414,-0.4691298,0.6331583,0.94354576,0.009621508,-0.8563857,-1.4670447,0.587271,1.4267403,0.88854045,train
0.98891824,0.60439605,0.029784195,1.1388538,1.8694104,-1.5563703,0.029032797,0.11496788,-0.017966151,-1.4575832,0.057770967,-0.9655647,-1.8296611,-1.9035909,0.6415623,1.2574908,-0.3063381,-0.46912235,0.63314605,0.9435534,0.009633295,-0.8563847,-1.4670492,0.5872803,1.4267505,0.88854045,train
0.9889305,0.6043983,0.029768303,1.1388592,1.8694088,-1.5563756,0.029040903,0.11496599,-0.017962337,-1.457579,0.057773113,-0.96555084,-1.8296627,-1.9036032,0.6415576,1.2574898,-0.30632195,-0.46912682,0.63315773,0.9435523,0.009621404,-0.8563858,-1.4670422,0.5872667,1.4267371,0.88854045,train
0.9889156,0.6043942,0.029781759,1.1388521,1.8694088,-1.5563728,0.029035985,0.114973545,-0.017965704,-1.4575833,0.05777338,-0.96556437,-1.8296614,-1.9035896,0.64156455,1.2574878,-0.3063391,-0.4691255,0.6331427,0.9435554,0.009637095,-0.856383,-1.4670504,0.58727914,1.4267541,0.88854045,train
0.98892933,0.60439974,0.029766202,1.13886,1.8694092,-1.5563749,0.029039502,0.11496745,-0.017962426,-1.45758,0.05777268,-0.96555,-1.8296624,-1.9036008,0.64156365,1.2574897,-0.30632472,-0.46912825,0.63315344,0.9435521,0.009620629,-0.8563856,-1.4670417,0.5872654,1.4267416,0.88854045,train
0.98892134,0.6043966,0.029779434,1.1388534,1.8694102,-1.556371,0.029031485,0.11496936,-0.017965704,-1.4575819,0.057770908,-0.9655589,-1.8296616,-1.9035943,0.6415656,1.2574904,-0.30633515,-0.4691248,0.63314414,0.943555,0.009627707,-0.8563836,-1.4670455,0.5872756,1.4267522,0.88854045,train
0.98891574,0.6043979,0.029786572,1.1388491,1.8694117,-1.5563675,0.02902633,0.11497025,-0.017966717,-1.457581,0.05777338,-0.9655669,-1.8296629,-1.9035863,0.6415637,1.2574912,-0.30634385,-0.46912384,0.6331414,0.943552,0.009631805,-0.85638386,-1.4670515,0.58728427,1.4267586,0.88854045,train
0.98892623,0.6043952,0.02977968,1.1388642,1.8694082,-1.556368,0.029032767,0.11495522,-0.017966777,-1.457588,0.057768345,-0.9655606,-1.8296579,-1.9035974,0.6415597,1.2574928,-0.3063311,-0.4691159,0.63315046,0.94355357,0.0096265,-0.85638595,-1.4670417,0.5872737,1.4267458,0.88854045,train
0.988929,0.6044056,0.029769368,1.1388532,1.8694186,-1.5563715,0.029038697,0.11496271,-0.017968178,-1.4575716,0.05777125,-0.9655439,-1.8296655,-1.9036015,0.64156353,1.2574953,-0.3063304,-0.4691317,0.63316023,0.94354534,0.009615563,-0.8563872,-1.4670415,0.58726686,1.4267365,0.88854045,train
0.9889173,0.6043977,0.029782437,1.1388462,1.8694144,-1.5563711,0.029033065,0.114972994,-0.017968029,-1.4575766,0.05777158,-0.96556014,-1.8296632,-1.9035908,0.6415653,1.2574906,-0.30633944,-0.46912825,0.6331459,0.9435521,0.009630524,-0.8563849,-1.4670502,0.5872807,1.4267519,0.88854045,train
0.98892564,0.6043983,0.029769346,1.1388531,1.8694104,-1.5563757,0.02904135,0.11497222,-0.01796469,-1.4575765,0.0577735,-0.96555185,-1.8296636,-1.9036,0.6415636,1.2574892,-0.3063265,-0.4691317,0.63315356,0.9435536,0.009623878,-0.85638607,-1.4670441,0.5872693,1.4267431,0.88854045,train
0.9889173,0.60440224,0.029776104,1.1388427,1.8694148,-1.5563732,0.029038489,0.11497684,-0.017966941,-1.457574,0.0577759,-0.9655556,-1.8296661,-1.9035903,0.64156765,1.2574894,-0.3063373,-0.4691348,0.63314974,0.94354874,0.00962802,-0.8563839,-1.4670522,0.5872758,1.4267515,0.88854045,train
0.9889197,0.60439926,0.029773816,1.1388476,1.8694105,-1.5563754,0.029040515,0.11497672,-0.01796484,-1.4575765,0.057776317,-0.96555585,-1.8296665,-1.9035919,0.6415662,1.2574883,-0.30633157,-0.46913415,0.63315046,0.9435521,0.009627931,-0.85638416,-1.4670504,0.5872722,1.4267498,0.88854045,train
0.9889236,0.6044045,0.029769786,1.138842,1.8694117,-1.5563765,0.029042915,0.11498083,-0.017963573,-1.457571,0.05777897,-0.96555054,-1.8296705,-1.9035927,0.64156705,1.2574893,-0.30632997,-0.4691403,0.6331552,0.9435484,0.0096222535,-0.8563838,-1.4670514,0.58726954,1.4267447,0.88854045,train
0.9889315,0.604407,0.029765077,1.138848,1.8694113,-1.556377,0.02904357,0.11497624,-0.017961994,-1.4575706,0.057776913,-0.9655457,-1.8296702,-1.903598,0.6415671,1.2574923,-0.30632395,-0.46913952,0.63316023,0.9435473,0.009613819,-0.85638374,-1.467048,0.5872624,1.4267353,0.88854045,train
0.98893934,0.6044087,0.029758349,1.1388493,1.8694147,-1.5563765,0.02904126,0.11497235,-0.017960146,-1.4575657,0.05777432,-0.9655363,-1.8296711,-1.9036044,0.64156526,1.2574942,-0.30632013,-0.4691401,0.6331643,0.9435456,0.00960473,-0.8563843,-1.4670433,0.5872587,1.4267288,0.88854045,train
