PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,target
-13.308779,3.0033038,-2.802659,1.1754165,0.90382475,-0.2989051,-0.30426902,-0.35188285,-0.5875387,0.30351597,-0.13710496,0.052873384,0.18811081,0.88854045
-13.308768,3.001599,-2.8029437,1.1758525,0.9049173,-0.29919156,-0.30526543,-0.3538311,-0.5912178,0.30614173,-0.13412261,0.054285213,0.1881315,0.88854045
-13.308852,3.0008562,-2.804257,1.1753224,0.9047658,-0.29977602,-0.30452472,-0.35411286,-0.5925173,0.30624598,-0.13402027,0.05421482,0.18790965,0.88854045
-13.308997,3.0018466,-2.802771,1.1752908,0.9048739,-0.29892737,-0.3032508,-0.3524863,-0.5891203,0.3053797,-0.13414133,0.05311075,0.18683176,0.88854045
-13.308933,3.0022185,-2.801683,1.1736302,0.90531605,-0.29808494,-0.3047651,-0.3536985,-0.58622515,0.3083207,-0.13608482,0.052565496,0.188648,0.88854045
-13.309209,3.0035079,-2.8028827,1.1757025,0.9034439,-0.2970463,-0.30440706,-0.35575715,-0.5916973,0.30589557,-0.14150053,0.05253641,0.17961118,0.88854045
-13.309201,3.0034497,-2.8029876,1.1756281,0.903408,-0.2970273,-0.30429584,-0.3557768,-0.59193206,0.30602723,-0.14136377,0.052514028,0.17952654,0.88854045
-13.308909,3.0034182,-2.802702,1.1751505,0.90340036,-0.29864216,-0.3026536,-0.35256973,-0.59035975,0.30354518,-0.13621113,0.052297574,0.18751235,0.88854045
-13.308984,3.0015886,-2.803152,1.1751872,0.9049538,-0.2991736,-0.30349588,-0.35234976,-0.5887305,0.30550033,-0.13431346,0.053318452,0.18685536,0.88854045
-13.308998,3.0018532,-2.8027592,1.1752839,0.90487355,-0.29893112,-0.3032285,-0.3525021,-0.58915347,0.30537105,-0.13412678,0.053106636,0.18678789,0.88854045
-13.308902,3.0032175,-2.802989,1.1751207,0.9035122,-0.2989112,-0.3030262,-0.35239857,-0.5896988,0.3035378,-0.13654155,0.052531153,0.18766133,0.88854045
-13.308958,3.0011966,-2.803743,1.1750495,0.9050346,-0.29950956,-0.30373055,-0.3522682,-0.588293,0.30545348,-0.13458785,0.053378474,0.1870154,0.88854045
-13.308902,3.0032175,-2.802989,1.1751207,0.9035122,-0.2989112,-0.3030262,-0.35239857,-0.5896988,0.3035378,-0.13654155,0.052531153,0.18766133,0.88854045
-13.308787,3.0033991,-2.8025098,1.1754763,0.9038374,-0.2988695,-0.30434215,-0.35183424,-0.58743054,0.30352968,-0.13713393,0.052960988,0.1881039,0.88854045
-13.308793,3.0035684,-2.8022666,1.1755131,0.9037444,-0.29866266,-0.30400157,-0.35203522,-0.5879617,0.30338663,-0.13691834,0.052661564,0.18804358,0.88854045
-13.308641,3.0024087,-2.8039956,1.1755078,0.90372914,-0.29971826,-0.30561602,-0.35346082,-0.5908277,0.30439597,-0.13701287,0.05406506,0.18918167,0.88854045
-13.308712,3.00362,-2.8021836,1.1759372,0.9033926,-0.2985854,-0.30455303,-0.35396886,-0.59266704,0.30421096,-0.13605627,0.053436156,0.18873389,0.88854045
-13.3088045,3.0036962,-2.8020682,1.1755542,0.9037439,-0.29856914,-0.30403435,-0.3519644,-0.5879762,0.30356288,-0.13683051,0.052813366,0.18795066,0.88854045
-13.308954,3.0032165,-2.8029919,1.1751385,0.9035389,-0.298922,-0.30302244,-0.3523724,-0.589701,0.30353707,-0.1365202,0.052512974,0.18761997,0.88854045
-13.30848,3.002505,-2.8040543,1.1764424,0.90350574,-0.30179057,-0.3016864,-0.3471542,-0.58794165,0.2983436,-0.13042882,0.053709023,0.19443582,0.88854045
-13.308499,3.0042927,-2.8008313,1.1753293,0.9035657,-0.29963422,-0.30194813,-0.34903467,-0.587128,0.30084467,-0.13135177,0.052286807,0.19583802,0.88854045
-13.308654,3.001788,-2.8024526,1.1762012,0.905242,-0.29915363,-0.3065591,-0.35328263,-0.58898276,0.306125,-0.13470039,0.054710936,0.18853019,0.88854045
-13.308585,3.0022786,-2.804195,1.1754466,0.90378004,-0.29990408,-0.3059225,-0.35330272,-0.59033066,0.30451584,-0.13724539,0.054360274,0.18927096,0.88854045
-13.308894,3.0030253,-2.8032665,1.1751113,0.9036184,-0.29916495,-0.303415,-0.35221517,-0.5890301,0.30352032,-0.13687739,0.052773405,0.18780802,0.88854045
-13.308869,3.0018084,-2.8026314,1.1755363,0.9052636,-0.29912162,-0.30477405,-0.3518022,-0.58649856,0.30546838,-0.13490137,0.053725902,0.18728529,0.88854045
